custnmbr,addrcode,custname,address1,address2,address3,ccode,city,country,state,zip,name_clean,city_clean,state_clean,country_clean,zip_clean
475DEFC,2A31974,2023021 ONTARIO LIMITED                                          ,C/O AVISON YOUNG                                             ,ATT: ACCOUNTS PAYABLE - MEZZANINE LEVEL                      ,211-1595 BEDFORD HWY                                         ,CA     ,BEDFORD                            ,Canada                                                       ,NOVA SCOTIA                  ,B4A 3Y4    ,2023021 ONTARIO,BEDFORD,NS,CA,B4A3Y4
BEC27F2,6F5FA7B,210 GTEHEN LTD                                                   ,C/O GWL REALTY ADVISORS                                      ,60 OSBORNE STREET NORTH (LLBN)                               ,                                                             ,CA     ,WINNIPEG                           ,Canada                                                       ,MANITOBA                     ,R3C 1V3    ,210 GTEHEN,WINNIPEG,MB,CA,R3C1V3
A4EDBA7,BC824E3,2236 Pawpmay Holdings                                            ,2226 Dewdney Avenue                                          ,                                                             ,                                                             ,CA     ,Regina                             ,Canada                                                       ,SK                           ,S4R 1H5    ,2236 PAWPMAY HOLDINGS,REGINA,SK,CA,S4R1H5
B32DFF1,6B225BF,2305098 Ontario Inc.                                             ,60 COLUMBIA WAY                                              ,SUITE 116                                                    ,                                                             ,CA     ,MARKHAM                            ,Canada                                                       ,ON                           ,L3R 0C9    ,2305098 ONTARIO,MARKHAM,ON,CA,L3R0C9
ED17477,F1D7789,2344711 Ontario Ltd. c/o GWX Taexty Epvuzotz Inc.                ,330 UNIVERSITY AVENUE                                        ,PMO S-2                                                      ,                                                             ,CA     ,TORONTO                            ,Canada                                                       ,ON                           ,M5G 1R8    ,2344711 ONTARIO C O GWX TAEXTY EPVUZOTZ,TORONTO,ON,CA,M5G1R8
09785FF,B169E8D,2588543 Ontario Inc                                              ,158 Cresthaven Drive                                         ,                                                             ,                                                             ,CA     ,Halifax                            ,Canada                                                       ,NS                           ,B3M 4B9    ,2588543 ONTARIO,HALIFAX,NS,CA,B3M4B9
0A78783,B169E8D,3314818 MZ Ltd                                                   ,PO Box 36116 RPO Spring Garden                               ,                                                             ,                                                             ,CA     ,Halifax                            ,Canada                                                       ,NS                           ,B3J 3S9    ,3314818 MZ,HALIFAX,NS,CA,B3J3S9
79E9C2F,99F5F6B,3325399 MZ Limited                                               ,C/O COMPASS COMMERCIAL REALTY                                ,3 SPECTACLE LAKE DR                                          ,SUITE 290                                                    ,CA     ,DARTMOUTH                          ,Canada                                                       ,NS                           ,B3B 1W8    ,3325399 MZ,DARTMOUTH,NS,CA,B3B1W8
17EA055,05F60F7,3510 ZTAAXAZ AVE. AEZT LP - Kymptyx Canada Limited               ,3500 STEELES AVE E                                           ,EAST LP RS - Kyndryl Canada Limited                          ,SUITE 201                                                    ,CA     ,MARKHAM                            ,Canada                                                       ,ON                           ,L3R 0X1    ,3510 ZTAAXAZ AVE AEZT KYMPTYX CANADA,MARKHAM,ON,CA,L3R0X1
2869374,DCFC9B3,360 BUTMHENTHOTBA TP W X B                                       ,C/O AVISON YOUNG PROPERTY MGMT (ONTARIO) INC                 ,900-60 ADELAIDE ST EAST                                      ,MAILBOX #15                                                  ,CA     ,TORONTO                            ,Canada                                                       ,ONTARIO                      ,M5H 3S5    ,360 BUTMHENTHOTBA TP W X B,TORONTO,ON,CA,M5H3S5
10B2717,F1D7789,50 Hoxxy Street Bettmatzhub Ltd.                                 ,"1 Queen Street East, Suite #2200                             ",                                                             ,                                                             ,CA     ,Toronto                            ,Canada                                                       ,ON                           ,M5C 2W5    ,50 HOXXY STREET BETTMATZHUB,TORONTO,ON,CA,M5C2W5
39025D9,F1D7789,510 XZ Limited Bettmatzhub                                       ,700-22 Street Clair Ave East                                 ,                                                             ,                                                             ,CA     ,Toronto                            ,Canada                                                       ,ON                           ,M4T 2S5    ,510 XZ BETTMATZHUB,TORONTO,ON,CA,M4T2S5
2CB810D,BC824E3,627590 Zezketchawem Ltd. c/o NcCOT Management (ZK) Inc.          ,"300-2550, 12th Avenue                                        ",                                                             ,                                                             ,CA     ,Regina                             ,Canada                                                       ,SK                           ,S4P 3X1    ,627590 ZEZKETCHAWEM C O NCCOT MANAGEMENT ZK,REGINA,SK,CA,S4P3X1
ABF219B,31F1958,65 Town Centre Holdings Ltd.                                     ,55 Town Centre Court                                         ,                                                             ,                                                             ,CA     ,Scarborough                        ,Canada                                                       ,ON                           ,M1P 4X4    ,65 TOWN CENTRE HOLDINGS,SCARBOROUGH,ON,CA,M1P4X4
8ADE97D,9BA5DB4,6611933 Canada Inc.                                              ,"510 boul Maloney est, bureau 200                             ",                                                             ,                                                             ,CA     ,Gatineau                           ,Canada                                                       ,QC                           ,J8P 1E7    ,6611933 CANADA,GATINEAU,QC,CA,J8P1E7
30286B7,DCFC9B3,6845 CAMTUTY MONUMAA INC                                         ,C/O AVISON YOUNG PROPERTY MGMT                               ,SIMPSON TOWER                                                ,"401 BAY ST, 11TH FLR                                         ",CA     ,TORONTO                            ,Canada                                                       ,ONTARIO                      ,M5H 2Y4    ,6845 CAMTUTY MONUMAA,TORONTO,ON,CA,M5H2Y4
7CA24C4,765812E,7037467 Canada Inc                                               ,"1100, Avenue Dr. Pennfield, suite 301                        ",                                                             ,                                                             ,CA     ,Montreal                           ,Canada                                                       ,QC                           ,H3A 1A8    ,7037467 CANADA,MONTREAL,QC,CA,H3A1A8
2AA4F28,5A98A43,825 PEMFOTTH AVE UMVAZTNAMTZ                                     ,815 DANFORTH AVE                                             ,                                                             ,                                                             ,CA     ,TORONTO                            ,Canada                                                       ,ONTARIO                      ,M4J 1L2    ,825 PEMFOTTH AVE UMVAZTNAMTZ,TORONTO,ON,CA,M4J1L2
2A2DD8C,5A98A43,85 ZCETBOTOUGH ROAD LTD                                          ,75 SCARBOROUGH RD                                            ,                                                             ,                                                             ,CA     ,TORONTO                            ,Canada                                                       ,ONTARIO                      ,M4E 3M4    ,85 ZCETBOTOUGH ROAD,TORONTO,ON,CA,M4E3M4
8910A60,A0F704B,857 HUGHBUTY INC                                                 ,847 HIGHBURY AVE BLDG 1                                      ,                                                             ,                                                             ,CA     ,LONDON                             ,Canada                                                       ,ON                           ,N5Y 5B8    ,857 HUGHBUTY,LONDON,ON,CA,N5Y5B8
F03CECE,BBD32FA,9252-5323 Quebec Inc.                                            ,630 RUE SAINT-PAUL O                                         ,BUREAU 600                                                   ,                                                             ,CA     ,MONTREAL                           ,Canada                                                       ,QC                           ,H3C 1L9    ,9252 5323 QUEBEC,MONTREAL,QC,CA,H3C1L9
3ED8D88,3376014,9258169 CANADA INC                                               ,O/A THRIVE CANNABIS                                          ,409 GRANVILLE ST                                             ,SUITE 1700                                                   ,CA     ,VANCOUVER                          ,Canada                                                       ,BC                           ,V6C 1T2    ,9258169 CANADA,VANCOUVER,BC,CA,V6C1T2
1528DE6,3A7BDCE,9326-5373 Quebec Inc.                                            ,4125 Autoroutes de Laurentides                               ,                                                             ,                                                             ,CA     ,Laval                              ,Canada                                                       ,QC                           ,H7L 5W5    ,9326 5373 QUEBEC,LAVAL,QC,CA,H7L5W5
F536D7E,9BA5DB4,9406583 Canada Inc.                                              ,460 BOUL GREBER                                              ,BUREAU 222                                                   ,                                                             ,CA     ,GATINEAU                           ,Canada                                                       ,QC                           ,J8T 6C7    ,9406583 CANADA,GATINEAU,QC,CA,J8T6C7
D3E7A1B,9ADC4B6,9481-7610 Quebec Inc                                             ,300-4150 Sherbrooke W                                        ,                                                             ,                                                             ,CA     ,Westmount                          ,Canada                                                       ,QC                           ,H3Z 1B7    ,9481 7610 QUEBEC,WESTMOUNT,QC,CA,H3Z1B7
ACE043D,3A7BDCE,A.B.N. nécemuqua                                                 ,Lise Berard                                                  ,"2425, Michelin                                               ",                                                             ,CA     ,Laval                              ,Canada                                                       ,QC                           ,H7L 5B9    ,A B N NECEMUQUA,LAVAL,QC,CA,H7L5B9
BDB50E9,7E277C5,A.Z. FOX LIMITED                                                 ,WESTBURY OFFICE PARK                                         ,2060 WINSTON PARK DRIVE                                      ,                                                             ,CA     ,OAKVILLE                           ,Canada                                                       ,ONTARIO                      ,L6H 5R7    ,A Z FOX,OAKVILLE,ON,CA,L6H5R7
6975F6B,F1D7789,Aeztboump Btawumg Co.                                            ,700 Queen St. E.                                             ,                                                             ,                                                             ,CA     ,Toronto                            ,Canada                                                       ,ON                           ,M4M 1G9    ,AEZTBOUMP BTAWUMG,TORONTO,ON,CA,M4M1G9
5C07F1A,F1D7789,Ambtupga Gez Inc.                                                ,500 Consumers Drive                                          ,                                                             ,                                                             ,CA     ,Toronto                            ,Canada                                                       ,ON                           ,M2J 1P8    ,AMBTUPGA GEZ,TORONTO,ON,CA,M2J1P8
CDCF14F,B961ACA,AMMUZCXETA CORPORATION CENTRE INC                                ,1275 NORTH SERVICE ROAD                                      ,                                                             ,                                                             ,CA     ,OAKVILLE                           ,Canada                                                       ,ONTARIO                      ,L6M 3G4    ,AMMUZCXETA CENTRE,OAKVILLE,ON,CA,L6M3G4
38884C8,,Amvuto Commaxuomz                                                ,                                                             ,                                                             ,                                                             ,       ,                                   ,                                                             ,                             ,           ,AMVUTO COMMAXUOMZ,,,,
38884C8,ECFB53E,Amvuto Commaxuomz                                                ,4141 Grande Allee                                            ,Shop Dept.                                                   ,                                                             ,CA     ,Boisbriand                         ,Canada                                                       ,QC                           ,J7H 1H7    ,AMVUTO COMMAXUOMZ,BOISBRIAND,QC,CA,J7H1H7
E934C0D,BC824E3,Anatgamcy Napucex Services Camttex                               ,1A03-1350 Albert Street                                      ,                                                             ,                                                             ,CA     ,Regina                             ,Canada                                                       ,SK                           ,S4R 2R7    ,ANATGAMCY NAPUCEX SERVICES CAMTTEX,REGINA,SK,CA,S4R2R7
2ED3A8D,2196B05,Anbexxegaz Nutchax-Xumcoxm Ltée                                  ,3737 BOUL THIMENS                                            ,                                                             ,                                                             ,CA     ,ST-LAURENT                         ,Canada                                                       ,QC                           ,H4R 1V1    ,ANBEXXEGAZ NUTCHAX XUMCOXM LTEE,ST-LAURENT,QC,CA,H4R1V1
CA8C871,C5185EB,Anbuty Company                                                   ,6577 NorthWest Dr                                            ,                                                             ,                                                             ,CA     ,Missisauga                         ,Canada                                                       ,ON                           ,L4V 1L1    ,ANBUTY,MISSISAUGA,ON,CA,L4V1L1
FDF0482,306E62E,AQUUCHAN TECHNOLOGIES                                            ,1520 TRINITY DR                                              ,UNIT 6                                                       ,                                                             ,CA     ,MISSISSAUGA                        ,Canada                                                       ,ON                           ,L5T 1N9    ,AQUUCHAN TECHNOLOGIES,MISSISSAUGA,ON,CA,L5T1N9
538C5AB,472D8FF,Axactto Cebxaz Inc.                                              ,9 Riverside Drive                                            ,P.O. Box 276                                                 ,                                                             ,CA     ,Trenton                            ,Canada                                                       ,ON                           ,K8V 5R5    ,AXACTTO CEBXAZ,TRENTON,ON,CA,K8V5R5
67C4A1C,5594F98,AXGUM BATFOTNEMCA INC                                            ,"MORGUARD ELGIN LTD, MORGUARD & PERFORMANCE CRT LTD           ",1400-505 3 ST SW                                             ,                                                             ,CA     ,CALGARY                            ,Canada                                                       ,AB                           ,T2P 3E6    ,AXGUM BATFOTNEMCA,CALGARY,AB,CA,T2P3E6
B958ECC,D3A069C,Axtampuceta Zhatwoop Court Xomg-Tatn Ceta Hona                   ,300 Ravineview                                               ,                                                             ,                                                             ,CA     ,Maple                              ,Canada                                                       ,ON                           ,L6A 3P8    ,AXTAMPUCETA ZHATWOOP COURT XOMG TATN CETA HONA,MAPLE,ON,CA,L6A3P8
2EA6825,F1D7789,AXTTANA EUT SYSTEMS LTD                                          ,850 TAPSCOTT RD                                              ,UNIT 41                                                      ,                                                             ,CA     ,TORONTO                            ,Canada                                                       ,ON                           ,M1X 1N4    ,AXTTANA EUT SYSTEMS,TORONTO,ON,CA,M1X1N4
DB1077C,F1D7789,Axzet Construction Inc.                                          ,21 Sable Street                                              ,                                                             ,                                                             ,CA     ,Toronto                            ,Canada                                                       ,ON                           ,M6M 4K8    ,AXZET CONSTRUCTION,TORONTO,ON,CA,M6M4K8
740C99E,DCFC9B3,AZBATEMCA HOBA HOUZUMG                                           ,20 TRENT ST                                                  ,                                                             ,                                                             ,CA     ,TORONTO                            ,Canada                                                       ,ONTARIO                      ,M4C 5C5    ,AZBATEMCA HOBA HOUZUMG,TORONTO,ON,CA,M4C5C5
668BC34,B7A540D,aZttuxtuta Limited Bettmatzhub - EBZ                             ,17500 TRANSCANADA HIGHWAY                                    ,                                                             ,                                                             ,CA     ,KIRKLAND                           ,Canada                                                       ,QC                           ,H9J 2X8    ,AZTTUXTUTA BETTMATZHUB EBZ,KIRKLAND,QC,CA,H9J2X8
C1979D4,6D0AB80,B&M Puzttubutotz Limited                                         ,"15 Saint Street, Unit 5                                      ",                                                             ,                                                             ,CA     ,Port Hawkesbury                    ,Canada                                                       ,NS                           ,B9A 3J5    ,B M PUZTTUBUTOTZ,PORT HAWKESBURY,NS,CA,B9A3J5
69D8999,9F03BA0,BAAT PROPERTY NGNT LTD                                           ,1648 BATHURST STREET                                         ,                                                             ,                                                             ,CA     ,TORONTO                            ,Canada                                                       ,ONTARIO                      ,M5P 3J7    ,BAAT PROPERTY NGNT,TORONTO,ON,CA,M5P3J7
8163CC5,D36CDBF,Baax Componumuun Corporation Mo. 322                             ,15 ELIZABETH ST                                              ,SUITE U-10                                                   ,                                                             ,CA     ,ORANGEVILLE                        ,Canada                                                       ,ON                           ,L9W 3X3    ,BAAX COMPONUMUUN MO 322,ORANGEVILLE,ON,CA,L9W3X3
AF1A628,0F6BBD3,BAAX DISTRICT SCHOOL BOETP                                       ,PTE BUCHAM SINGH PS                                          ,FOR THE HWH                                                  ,100 MARTIN BYRNE DRIVE                                       ,CA     ,BRAMPTON                           ,Canada                                                       ,ON                           ,L6P 4C7    ,BAAX DISTRICT SCHOOL BOETP,BRAMPTON,ON,CA,L6P4C7
AF1A628,B89D105,BAAX DISTRICT SCHOOL BOETP                                       ,EARNSCLIFFE SENIOR                                           ,50 EARNSCLIFFE CIRCLE                                        ,                                                             ,CA     ,BRAMPTON                           ,Canada                                                       ,ONTARIO                      ,L6T 2Y9    ,BAAX DISTRICT SCHOOL BOETP,BRAMPTON,ON,CA,L6T2Y9
AF1A628,EC45059,BAAX DISTRICT SCHOOL BOETP                                       ,STREETSVILLE SECONDARY                                       ,72 JOYMAR DR.                                                ,                                                             ,CA     ,MISSISSAUGA                        ,Canada                                                       ,ONTARIO                      ,L5M 1G3    ,BAAX DISTRICT SCHOOL BOETP,MISSISSAUGA,ON,CA,L5M1G3
F4A71B5,7486AE7,Baeu-Xuau Umztemtemé Inc.                                        ,765 RUE NOBEL                                                ,BUREAU 101                                                   ,                                                             ,CA     ,SAINT-JEROME                       ,Canada                                                       ,QC                           ,J7Z 7A3    ,BAEU XUAU UMZTEMTEME,SAINT-JEROME,QC,CA,J7Z7A3
C6A1FE5,173B08A,BAN LP (Agxumtom) c/o Zeppxabtook Construction                   ,Suite 401-7300 Keele Street                                  ,                                                             ,                                                             ,CA     ,Concord                            ,Canada                                                       ,ON                           ,L4K 0E5    ,BAN AGXUMTOM C O ZEPPXABTOOK CONSTRUCTION,CONCORD,ON,CA,L4K0E5
A7A69F1,C67372D,Batfotn-Eut Ump                                                  ,705 rue Ste-Catherine ouest                                  ,                                                             ,                                                             ,CA     ,Montreal                           ,Canada                                                       ,QC                           ,H3A 3E6    ,BATFOTN EUT UMP,MONTREAL,QC,CA,H3A3E6
ED12C9C,4C98B0C,Batom Vechom Inc                                                 ,2154 RUE DES VIOLETTES                                       ,                                                             ,                                                             ,CA     ,LA CONCEPTION                      ,Canada                                                       ,QC                           ,J0T 1M0    ,BATOM VECHOM,LA CONCEPTION,QC,CA,J0T1M0
7899AEC,27105AC,BATTO-CANADA XUBTUCEMT UMK                                       ,2310 LAKESHORE RD W                                          ,                                                             ,                                                             ,CA     ,MISSISSAUGA                        ,CANADA                                                       ,ON                           ,L5J 1K2    ,BATTO CANADA XUBTUCEMT UMK,MISSISSAUGA,ON,CA,L5J1K2
7C17BDC,0BBEFBA,Batttemp Plumbing Haetumg                                        ,195 Bay St                                                   ,                                                             ,                                                             ,CA     ,Embrun                             ,Canada                                                       ,ON                           ,K0A 1W1    ,BATTTEMP PLUMBING HAETUMG,EMBRUN,ON,CA,K0A1W1
4CDD083,8993602,BATUMG MECHANICAL LTD                                            ,7220 WEST CREDIT AVENUE                                      ,                                                             ,                                                             ,CA     ,MISSISSAUGA                        ,Canada                                                       ,ONTARIO                      ,L5N 5N1    ,BATUMG MECHANICAL,MISSISSAUGA,ON,CA,L5N5N1
B0881A2,DE641EA,BATUNATAT DEVELOPMENT                                            ,20 BREITHAUPT ST                                             ,                                                             ,                                                             ,CA     ,KITCHENER                          ,Canada                                                       ,ON                           ,N2H 5G6    ,BATUNATAT DEVELOPMENT,KITCHENER,ON,CA,N2H5G6
4D7EE30,894AD76,BAUATXA PLUMBING AND HAETUMG                                     ,121 105TH ST E                                               ,                                                             ,                                                             ,CA     ,SASKATOON                          ,Canada                                                       ,SK                           ,S7N 1Z2    ,BAUATXA PLUMBING AND HAETUMG,SASKATOON,SK,CA,S7N1Z2
AD16C41,52CF224,Bavem Btoz. Limited                                              ,10 Walker Drive                                              ,                                                             ,                                                             ,CA     ,Charlottetown                      ,Canada                                                       ,PE                           ,C1A 8S6    ,BAVEM BTOZ,CHARLOTTETOWN,PE,CA,C1A8S6
6427B4B,D768615,BAXX CANADA                                                      ,1 GRAHAM BELL C-1                                            ,                                                             ,                                                             ,CA     ,VERDUN                             ,Canada                                                       ,QC                           ,H3E 3B3    ,BAXX CANADA,VERDUN,QC,CA,H3E3B3
FD17C7E,F41E54C,BBG CANADA INC                                                   ,GM OSHAWA                                                    ,CANADIAN TECHNICAL CENTER                                    ,500 WENTWORTH ST W                                           ,CA     ,OSHAWA                             ,Canada                                                       ,ON                           ,L1J 0C5    ,BBG CANADA,OSHAWA,ON,CA,L1J0C5
ACD6EB5,4587E6A,BBP                                                              ,325 PRINCIPALE NORD                                          ,UHMW INDUSTRIES                                              ,                                                             ,CA     ,WATERVILLE                         ,Canada                                                       ,QUEBEC                       ,J0B 3H0    ,BBP,WATERVILLE,QC,CA,J0B3H0
4C51C54,8091A65,BCC 106                                                           ,2556 Argyle Rd.                                              ,                                                             ,                                                             ,CA     ,Mississauga                        ,Canada                                                       ,ON                           ,L5B 2H6    ,BCC 106,MISSISSAUGA,ON,CA,L5B2H6
AD5D1D9,8091A65,BCC 116                                                          ,530 Lolita Gardens                                           ,                                                             ,                                                             ,CA     ,Mississauga                        ,Canada                                                       ,ON                           ,L5A 3T2    ,BCC 116,MISSISSAUGA,ON,CA,L5A3T2
DBF2E1C,8441C9E,BCC 161                                                          ,C/O ICC PROPERTY MANAGEMENT LTD                              ,"1151 DENISON STREET, UNIT 15                                 ",                                                             ,CA     ,MARKHAM                            ,Canada                                                       ,ONTARIO                      ,L3R 3Y4    ,BCC 161,MARKHAM,ON,CA,L3R3Y4
6547206,5F6B772,BCC 169                                                          ,7-201 Director Court                                         ,                                                             ,                                                             ,CA     ,Vaughan                            ,Canada                                                       ,ON                           ,L4L 4S5    ,BCC 169,VAUGHAN,ON,CA,L4L4S5
18C7F40,1401E86,BCG Gxobex Property Management Inc                               ,1112 WEST PENDER ST SUITE 200                                ,ZZZZ DO NOT USE                                              ,                                                             ,CA     ,VANCOUVER                          ,Canada                                                       ,BC                           ,V6E 2S1    ,BCG GXOBEX PROPERTY MANAGEMENT,VANCOUVER,BC,CA,V6E2S1
E735724,E45E887,BCUNC TAEXTY CORPORATION                                         ,C/O QUADREAL PROPERTY GROUP                                  ,199 BAY STREET SUITE 1910                                    ,PO BOX 101                                                   ,CA     ,TORONTO                            ,Canada                                                       ,ONTARIO                      ,M5L 1E2    ,BCUNC TAEXTY,TORONTO,ON,CA,M5L1E2
92B6F19,F1D7789,bcUNC Taexty Corp -                                              ,199 BAY STREET SUITE 1920                                    ,PO BOX 101 STN COMMERCE COURT 199 BAY STREET POSTAL STN      ,                                                             ,CA     ,TORONTO                            ,Canada                                                       ,ON                           ,M5L 1E2    ,BCUNC TAEXTY,TORONTO,ON,CA,M5L1E2
92B6F19,FCDE270,bcUNC Taexty Corp -                                              ,PO BOX 101 STN COMMERCE COURT                                ,199 BAY STREET SUITE 1910                                    ,                                                             ,CA     ,TORONTO                            ,Canada                                                       ,ON                           ,M5L 1E2    ,BCUNC TAEXTY,TORONTO,ON,CA,M5L1E2
1538816,4CC52FE,BECA SOLUTIONS CORP                                              ,PREVENT MECHANICAL                                           ,C/O LANDMARK GARDENS                                         ,333 GARRY CRESENT NE                                         ,CA     ,CALGARY                            ,Canada                                                       ,ALBERTA                      ,T2K 3T7    ,BECA SOLUTIONS,CALGARY,AB,CA,T2K3T7
8AEE09E,B648FAF,BECKATHEUZ VAUT LTD                                              ,90 SUMMERLEA RD                                              ,C/O KEELE WAREHOUSING AND LOGISTICS                          ,                                                             ,CA     ,BRAMPTON                           ,CANADA                                                       ,ON                           ,L6T 4X3    ,BECKATHEUZ VAUT,BRAMPTON,ON,CA,L6T4X3
9B39AC6,A40DBD2,BETC OXYNBUQUA                                                   ,MAGASIN CENTRAL                                              ,4400 RUE SHERBROOKE E                                        ,                                                             ,CA     ,MONTREAL                           ,Canada                                                       ,QC                           ,H1V 3S8    ,BETC OXYNBUQUA,MONTREAL,QC,CA,H1V3S8
F29E080,B169E8D,Betenoumt Management                                             ,1245 BARRINGTON ST                                           ,                                                             ,                                                             ,CA     ,HALIFAX                            ,Canada                                                       ,NS                           ,B3J 1Y2    ,BETENOUMT MANAGEMENT,HALIFAX,NS,CA,B3J1Y2
4096ECA,765812E,Betkvuaw Management                                              ,"5100 Boul Edouard Montpetit, Suite 5                         ",                                                             ,                                                             ,CA     ,Montreal                           ,Canada                                                       ,QC                           ,H3W 1R2    ,BETKVUAW MANAGEMENT,MONTREAL,QC,CA,H3W1R2
4DD6BB1,59EE530,BETOUZZA ST-THONEZ                                               ,2001 LAJOIE ST                                               ,                                                             ,                                                             ,CA     ,Lefaivre                           ,Canada                                                       ,ON                           ,K0B 1J0    ,BETOUZZA ST THONEZ,LEFAIVRE,ON,CA,K0B1J0
5C3D968,,Betze Kaxxy / Cetu-Cem Coobatetuva Honaz Inc.                    ,                                                             ,                                                             ,                                                             ,       ,                                   ,                                                             ,                             ,           ,BETZE KAXXY CETU CEM COOBATETUVA HONAZ,,,,
5C3D968,46D8581,Betze Kaxxy / Cetu-Cem Coobatetuva Honaz Inc.                    ,1 Coin St.                                                   ,                                                             ,                                                             ,CA     ,Etobicoke                          ,Canada                                                       ,ON                           ,M8V 3Y9    ,BETZE KAXXY CETU CEM COOBATETUVA HONAZ,ETOBICOKE,ON,CA,M8V3Y9
7633E11,8B582F1,BEXMET MANAGEMENT LTD.                                           ,TWIN TOWERS                                                  ,65 SPEEDVALE AVE W                                           ,                                                             ,CA     ,GUELPH                             ,Canada                                                       ,ONTARIO                      ,N1H 1J7    ,BEXMET MANAGEMENT,GUELPH,ON,CA,N1H1J7
9FF6FE7,ACF5B2E,BEY TUPGAZ                                                       ,900 SANDY BEACH RD                                           ,                                                             ,                                                             ,CA     ,PICKERING                          ,Canada                                                       ,ON                           ,L1W 1Z4    ,BEY TUPGAZ,PICKERING,ON,CA,L1W1Z4
15D2486,302FF02,BGUZ                                                             ,125 BRODIE ST N                                              ,                                                             ,                                                             ,CA     ,THUNDER BAY                        ,Canada                                                       ,ON                           ,P7C 0A3    ,BGUZ,THUNDER BAY,ON,CA,P7C0A3
