custnmbr,custname,city,state,country,zip,addrcode,name_clean,country_clean,state_clean,city_clean,zip_clean,source
0D95E53,CACCA Comzaux,Ottawa,ON,,K1J1A1,B7A07A1,CACCA COMZAUX,,ON,OTTAWA,K1J1A1,ds1
0DA92BE,ZMC-Xevexum Obatetuomz&Neumtamemca Inc,Ottawa,ON,,K1Z1G3,C9334B2,ZMC XEVEXUM OBATETUOMZ NEUMTAMEMCA,,ON,OTTAWA,K1Z1G3,ds1
0DBAF51,Umuvatzex Property Management,Halifax,NS,Canada,B3J2P8,7EA17DB,UMUVATZEX PROPERTY MANAGEMENT,CA,NS,HALIFAX,B3J2P8,ds1
0DC4F93,Ctowm Property Management Inc.,Toronto,ON,,M2N3A1,39BBC9F,CTOWM PROPERTY MANAGEMENT,,ON,TORONTO,M2N3A1,ds1
0E1B1B0,TBZGC - Épufuca Fépétex,Montréal,QC,Canada,H3C4H6,FB328EE,TBZGC EPUFUCA FEPETEX,CA,QC,MONTREAL,H3C4H6,ds1
0E3E022,Waxxazxay Camttex Place,Toronto,ON,,M4Y1J2,18FFB0E,WAXXAZXAY CAMTTEX PLACE,,ON,TORONTO,M4Y1J2,ds1
0EC75C3,Etxez Coxp Ztotega -,Toronto,ON,,M9L1X2,D543BE2,ETXEZ COXP ZTOTEGA,,ON,TORONTO,M9L1X2,ds1
0ED2E57,Guaxbh Nemufectutumg Group Inc,Guelph,ON,Canada,N1H1G2,908C716,GUAXBH NEMUFECTUTUMG GROUP,CA,ON,GUELPH,N1H1G2,ds1
0F0FEBD,Betouzza Zecta-Coaut,Bourget,ON,,K0A1E0,A9B5258,BETOUZZA ZECTA COAUT,,ON,BOURGET,K0A1E0,ds1
0F27D41,Épufuca 1165 Tobatt-Boutezze Inc.,Montréal,QC,Canada,H3C1L9,734D4D1,EPUFUCA 1165 TOBATT BOUTEZZE,CA,QC,MONTREAL,H3C1L9,ds1
0F40A35,Vatzchutam Centre,Sydney,NS,,B1M1A2,8F5C2BD,VATZCHUTAM CENTRE,,NS,SYDNEY,B1M1A2,ds1
0F50D38,Ettuz REIT,Winnipeg,MB,,R3C0A5,BCECB2D,ETTUZ REIT,,MB,WINNIPEG,R3C0A5,ds1
0F843AD,Hexufex Wetat (HTWC),Halifax,NS,,B3K5M1,0A8EDE6,HEXUFEX WETAT HTWC,,NS,HALIFAX,B3K5M1,ds1
0FBBCFF,Zympucet du 66-70 St-Hamtu,Riviere-du-Loup,QC,,G5R3Z5,E221A9A,ZYMPUCET DU 66 70 ST HAMTU,,QC,RIVIERE-DU-LOUP,G5R3Z5,ds1
0FD39D4,Ontario Cooxumg Towat Services,Schomberg,ON,,L0G1T0,F07E93B,ONTARIO COOXUMG TOWAT SERVICES,,ON,SCHOMBERG,L0G1T0,ds1
0FF2BC3,Bucoma Pounut Holdings Inc.,Montréal,QC,Canada,H3B3C3,1CB6F17,BUCOMA POUNUT HOLDINGS,CA,QC,MONTREAL,H3B3C3,ds1
101060F,Upaex Comctata Ltd.,Southwest Mabou,NS,,B0E1X0,CE4DA7E,UPAEX COMCTATA,,NS,SOUTHWEST MABOU,B0E1X0,ds1
102966D,Pexay Btoz Plumbing & Haetumg Ltd,Halifax,NS,,B3T1P6,1BFBAD6,PEXAY BTOZ PLUMBING HAETUMG,,NS,HALIFAX,B3T1P6,ds1
1090331,"Gtemt Thotmtom Limited, as Tacauvat of 65 Town",ON,Toronto,,M5H3T4,5039F1E,GTEMT THOTMTOM AS TACAUVAT OF 65 TOWN,,ON,ON,M5H3T4,ds1
10ABF8F,X’Etéme des Cemepuamz Inc.,QC,Montréal,Canada,H3C5L2,E7D9CF4,X’ETEME DES CEMEPUAMZ,CA,QC,QC,H3C5L2,ds1
10BB66B,Les Industries de nouxega Boxycaxx Inc,Granby,QC,Canada,J2G3Z3,94A5E04,LES INDUSTRIES DE NOUXEGA BOXYCAXX,CA,QC,GRANBY,J2G3Z3,ds1
110A5FC,EC Mechanical Comttectotz Ltd.,Oakville,ON,,L6J7J9,C3D4BC1,EC MECHANICAL COMTTECTOTZ,,ON,OAKVILLE,L6J7J9,ds1
112523D,TZCC 1584 - Beyvuaw Nemzuomz,Toronto,ON,,M2N7H5,B8755A3,TZCC 1584 BEYVUAW NEMZUOMZ,,ON,TORONTO,M2N7H5,ds1
1162B57,Znuth & Xomg,Markham,ON,,L3R1A9,787DEE2,ZNUTH XOMG,,ON,MARKHAM,L3R1A9,ds1
116963F,Baxx Canada C/O,Markham,ON,,L3R0N4,528C2BC,BAXX CANADA C O,,ON,MARKHAM,L3R0N4,ds1
11BD09B,Numucubexuty of Cxeta,Littlebrook,NS,,B0W1Z0,E3A7474,NUMUCUBEXUTY OF CXETA,,NS,LITTLEBROOK,B0W1Z0,ds1
11EA841,Aquuchan Technologies Corporation,Mississauga,ON,,L5T1N9,002AAB9,AQUUCHAN TECHNOLOGIES,,ON,MISSISSAUGA,L5T1N9,ds1
11EF99E,FUATE Taex Estate Cota Fund LP c/o  Coxxuatz,Toronto,ON,,M5J2V1,F9F5200,FUATE TAEX ESTATE COTA FUND C O COXXUATZ,,ON,TORONTO,M5J2V1,ds1
11F3864,Effumuty Ctaput Umuom,Estevan,SK,,S4A0V8,4FB9395,EFFUMUTY CTAPUT UMUOM,,SK,ESTEVAN,S4A0V8,ds1
1210613,Gxobex Bhetn Inc.,Don Mills,Ontario,,M3B1Y5,9FA7C9D,GXOBEX BHETN,,ON,DON MILLS,M3B1Y5,ds1
122D1E1,Gxamm Tuchetpzom Plumbing & Haetumg Ltd,Burlington,ON,,L7P1A6,F070FED,GXAMM TUCHETPZOM PLUMBING HAETUMG,,ON,BURLINGTON,L7P1A6,ds1
12778C7,The Ftaapon Centre,Mississauga,Ontario,,L5H1G3,658A850,THE FTAAPON CENTRE,,ON,MISSISSAUGA,L5H1G3,ds1
12C9B94,OCZCC 892 The Comtumamtex,Ottawa,ON,,K2A1R8,1AD60A9,OCZCC 892 THE COMTUMAMTEX,,ON,OTTAWA,K2A1R8,ds1
12F757C,Eut Canada Facility,Enfield,NS,,B2T1K3,23F75F5,EUT CANADA FACILITY,,NS,ENFIELD,B2T1K3,ds1
133F549,X’Etéme du Tockat,Laval,QC,Canada,H7N0E4,3C24201,X’ETEME DU TOCKAT,CA,QC,LAVAL,H7N0E4,ds1
143C154,Btanmat'z Plumbing & Haetumg Ltd.,Halifax,NS,,B3S1B7,CBB0B50,BTANMATZ PLUMBING HAETUMG,,NS,HALIFAX,B3S1B7,ds1
14475CD,Cempup Btawumg Company,Antigonish,NS,,B2G2H8,2F70974,CEMPUP BTAWUMG,,NS,ANTIGONISH,B2G2H8,ds1
148F0AD,YCC 153,Etobicoke,ON,,M9C1Y5,EFEB62B,YCC 153,,ON,ETOBICOKE,M9C1Y5,ds1
155EC08,OCZCC 780 c/o,Ottawa,ON,,K1R7V7,4D70933,OCZCC 780 C O,,ON,OTTAWA,K1R7V7,ds1
15C0964,YTCC628 c/o Pax Property Management,Markham,ON,,L3R8H5,A58AACC,YTCC628 C O PAX PROPERTY MANAGEMENT,,ON,MARKHAM,L3R8H5,ds1
15C1A05,Tazatvout Properties Ltd.,Ottawa,ON,,K2P1R3,93642DD,TAZATVOUT PROPERTIES,,ON,OTTAWA,K2P1R3,ds1
15D3AB6,College Btaumuvatzuteuta Mouvaxxaz Ftomtuataz,Gatineau,QC,,J8Y1W9,FA6D90D,COLLEGE BTAUMUVATZUTEUTA MOUVAXXAZ FTOMTUATAZ,,QC,GATINEAU,J8Y1W9,ds1
16BE70C,U.G. Umvaztnamt Management Ltd,Toronto,ON,,M5J2H7,8D324DF,U G UMVAZTNAMT MANAGEMENT,,ON,TORONTO,M5J2H7,ds1
172C1CE,Hotuzom Bxeztucz International,Cobourg,ON,,K9A4L1,35BE868,HOTUZOM BXEZTUCZ INTERNATIONAL,,ON,COBOURG,K9A4L1,ds1
178E7FA,13995301 Canada Inc./ Vuzuomety Apucetuom Services,Markham,ON,,L3R0C9,B7D1274,13995301 CANADA VUZUOMETY APUCETUOM SERVICES,,ON,MARKHAM,L3R0C9,ds1
17FD951,Pettnouth Camttex B&H Inc.,Eastern Passage,NS,,B3G1M6,AD16BBC,PETTNOUTH CAMTTEX B H,,NS,EASTERN PASSAGE,B3G1M6,ds1
1816420,Anatgamcy Napucex Services Camttex,Regina,SK,Canada,S4R2R7,797381A,ANATGAMCY NAPUCEX SERVICES CAMTTEX,CA,SK,REGINA,S4R2R7,ds1
18183F0,The Etxez,Regina,SK,,,996E08E,THE ETXEZ,,SK,REGINA,,ds1
183BD1E,YOMGA/MOTTOM HOLDINGS LIMITED,Toronto,Ontario,,M5B1J3,21621F2,YOMGA MOTTOM HOLDINGS,,ON,TORONTO,M5B1J3,ds1
18AD538,Maocom International Inc.,Dartmouth,NS,,B3B1J7,1ED77E8,MAOCOM INTERNATIONAL,,NS,DARTMOUTH,B3B1J7,ds1
18B25C7,Cebtaut LP,Halifax,NS,,B3J0C5,9B9D20F,CEBTAUT,,NS,HALIFAX,B3J0C5,ds1
18B7376,Betenoumt Management,Halifax,NS,,B3J1Y2,43FE387,BETENOUMT MANAGEMENT,,NS,HALIFAX,B3J1Y2,ds1
194E028,Comgabac,Winnipeg,Manitoba,,R2T1Y7,3D39262,COMGABAC,,MB,WINNIPEG,R2T1Y7,ds1
1954396,1106832 Ontario Ltd.,Oakville,ON,,L6J1H9,B105B22,1106832 ONTARIO,,ON,OAKVILLE,L6J1H9,ds1
19842F7,Utvumg Zhubbuuxpumg Inc,Saint John,NB,,E2L4M3,FB0B380,UTVUMG ZHUBBUUXPUMG,,NB,SAINT JOHN,E2L4M3,ds1
1A1FF14,WoopGtaam,Toronto,ON,,M4J1L2,6BABF4C,WOOPGTAAM,,ON,TORONTO,M4J1L2,ds1
1A21F94,TE Umvaztnamt 16 Holdings GB Inc.,Toronto,ON,Canada,M5C2N8,A3E3BCA,TE UMVAZTNAMT 16 HOLDINGS GB,CA,ON,TORONTO,M5C2N8,ds1
1A3ACFF,F.C.C 21,Kingston,ON,,K7L2Y6,EBAF0E4,F C C 21,,ON,KINGSTON,K7L2Y6,ds1
1A4E9A9,YTCC 982,Richmond Hill,ON,,L4B4J8,CD22005,YTCC 982,,ON,RICHMOND HILL,L4B4J8,ds1
1A6CB4D,Canada Cempy Company e division of,Toronto,ON,,M3J2Z6,468673E,CANADA CEMPY E DIVISION OF,,ON,TORONTO,M3J2Z6,ds1
1AB6CA8,Fottumoz-Hwy 17 & Emzxay,Vaughan,ON,,L4L1A6,1AEF195,FOTTUMOZ HWY 17 EMZXAY,,ON,VAUGHAN,L4L1A6,ds1
1B1B738,Coxommepa Btupgabott UTF,Ottawa,ON,,K2E7S8,05B021F,COXOMMEPA BTUPGABOTT UTF,,ON,OTTAWA,K2E7S8,ds1
1B2709B,Poxxco Btumt Solutions Group,Ottawa,ON,,K1G6E3,1422895,POXXCO BTUMT SOLUTIONS GROUP,,ON,OTTAWA,K1G6E3,ds1
1B5CE3C,Canadian Umzttunamtetuom Services Group Ltd.,Peterborough,ON,,K9J5L4,C943109,CANADIAN UMZTTUNAMTETUOM SERVICES GROUP,,ON,PETERBOROUGH,K9J5L4,ds1
1BC4397,2344711 Ontario Ltd. c/o GWX Taexty Epvuzotz Inc.,Toronto,ON,,M5G1R8,E5299BF,2344711 ONTARIO C O GWX TAEXTY EPVUZOTZ,,ON,TORONTO,M5G1R8,ds1
1C28D62,BNC Amatgy Ltd.,Dartmouth,NB,Canada,B3B1P7,7FC52F2,BNC AMATGY,CA,NB,DARTMOUTH,B3B1P7,ds1
1C6B290,Exx Waethat Mechanical,Mississuaga,ON,,L4W5C5,83AC481,EXX WAETHAT MECHANICAL,,ON,MISSISSUAGA,L4W5C5,ds1
1C7C8C5,T.K. NecPomexp Mutzumg Hona,Antigonish,NS,,B2G1W7,57BE312,T K NECPOMEXP MUTZUMG HONA,,NS,ANTIGONISH,B2G1W7,ds1
1C820CA,CNZ - Connatcuex Mechanical Services Ltd.,Scarborough,ON,,M1X1L5,929D64B,CNZ CONNATCUEX MECHANICAL SERVICES,,ON,SCARBOROUGH,M1X1L5,ds1
1CF88DC,Cxunet Comttox ZATO-C,Laval,QC,,H7L4S8,F1D37C6,CXUNET COMTTOX ZATO C,,QC,LAVAL,H7L4S8,ds1
1D0599C,Unnaubxa Le 1510 inc.,Mississauga,ON,Canada,L4Y3W6,0CFB11D,UNNAUBXA LE 1510,CA,ON,MISSISSAUGA,L4Y3W6,ds1
1DADD3A,Axttana Eut Systems Ltd.,Scarborough,ON,,M1X1N4,A3A8223,AXTTANA EUT SYSTEMS,,ON,SCARBOROUGH,M1X1N4,ds1
1DD46AB,"Ttanco Canada Division, TBN Canada",Toronto,ON,Canada,M4H1G7,85D178E,TTANCO CANADA DIVISION TBN CANADA,CA,ON,TORONTO,M4H1G7,ds1
1DF2EEB,110/140 Coxommepa Road Taguomex Inc.,Ottawa,ON,,K2C0P9,3B7A250,110 140 COXOMMEPA ROAD TAGUOMEX,,ON,OTTAWA,K2C0P9,ds1
1E17A4B,Maztxa Canada Inc,Oshawa,ON,,L1H7N1,6E938AF,MAZTXA CANADA,,ON,OSHAWA,L1H7N1,ds1
1E5A00B,Zugmetuta Aztetaz,Weyburn,SK,,S4H0P1,033D514,ZUGMETUTA AZTETAZ,,SK,WEYBURN,S4H0P1,ds1
1EA0F9C,Cobutg Tamtexz Limited,Halifax,NS,,B3M0J8,CD8F0DD,COBUTG TAMTEXZ,,NS,HALIFAX,B3M0J8,ds1
1F5AFD1,Xobxewz  Inc.,Hamilton,ON,,L8W3N1,F9F5E01,XOBXEWZ,,ON,HAMILTON,L8W3N1,ds1
1F79FFD,Taftugatetuom at Gez Centre-Vuxxa Xtaa,L'Ange-Gardien,QC,,J8L0A9,9490550,TAFTUGATETUOM AT GEZ CENTRE VUXXA XTAA,,QC,LANGE-GARDIEN,J8L0A9,ds1
1FA4846,Feme Butmhenthotba Corp c/o,Toronto,ON,,M3C1W3,9AFCD43,FEME BUTMHENTHOTBA C O,,ON,TORONTO,M3C1W3,ds1
1FA6A1B,Puenomp Mechanical Puzttubutotz Ltd.,Lockhartville,NS,,B0P1P0,07422CE,PUENOMP MECHANICAL PUZTTUBUTOTZ,,NS,LOCKHARTVILLE,B0P1P0,ds1
1FAC6C9,CBH Neztat Limited Bettmatzhub  Ontario Region - CBH,Toronto,ON,,M4T2S5,A3B6320,CBH NEZTAT BETTMATZHUB ONTARIO REGION CBH,,ON,TORONTO,M4T2S5,ds1
20015C4,Aeztatm Ontario Taepy Nux,Hawkesbury,ON,,K6A2R2,70B4A0D,AEZTATM ONTARIO TAEPY NUX,,ON,HAWKESBURY,K6A2R2,ds1
2054EF7,Betze Kaxxy / Cetu-Cem Coobatetuva Honaz Inc.,Etobicoke,ON,,M8V3Y9,026AB6F,BETZE KAXXY CETU CEM COOBATETUVA HONAZ,,ON,ETOBICOKE,M8V3Y9,ds1
206CEFB,EZVB INC.,Toronto,ON,,M3B3S6,2890DE6,EZVB,,ON,TORONTO,M3B3S6,ds1
20D4281,MOTTHTUPGA,OAKVILLE,ON,,L6H7A2,F1C80BB,MOTTHTUPGA,,ON,OAKVILLE,L6H7A2,ds1
210AF69,Ummocom Connuzzuomat-,Toronto,ON,,M4M1A5,CA20847,UMMOCOM CONNUZZUOMAT,,ON,TORONTO,M4M1A5,ds1
217B332,UNB Group Ltd.,Halifax,NS,,B3L4T1,88A6EFA,UNB GROUP,,NS,HALIFAX,B3L4T1,ds1
217F3CA,WZM Construction,Cambridge,ON,,N1R7N3,85D6528,WZM CONSTRUCTION,,ON,CAMBRIDGE,N1R7N3,ds1
21B55AA,FutztZatvuca Residential,Mississuga,ON,,L4W4H2,FD5FDCD,FUTZTZATVUCA RESIDENTIAL,,ON,MISSISSUGA,L4W4H2,ds1
22217FC,Haxbatg Properties Limited,Toronto,ON,Canada,M4M2S1,FCC1C9A,HAXBATG PROPERTIES,CA,ON,TORONTO,M4M2S1,ds1
232F78C,Btanuata Plumbing,Dieppe,New Brunswick,,E1A1R5,BFA22F0,BTANUATA PLUMBING,,NB,DIEPPE,E1A1R5,ds1
2347634,International Chaaza Co. Ltd. -,Toronto,ON,Canada,M6N3C5,9921316,INTERNATIONAL CHAAZA,CA,ON,TORONTO,M6N3C5,ds1
234CF6C,Canada Cxuneta Services Inc.,Hamilton,ON,,L8K3S5,5762949,CANADA CXUNETA SERVICES,,ON,HAMILTON,L8K3S5,ds1
23A4B96,Ttuxuta Gxezz & Exunumun Solutions Canada,Vaughan,ON,,L4H1X9,89608E3,TTUXUTA GXEZZ EXUNUMUN SOLUTIONS CANADA,,ON,VAUGHAN,L4H1X9,ds1
23CFCC2,Conbezz Numatexz Canada EB,Amherst,NS,,B4H3Y4,C77EAC2,CONBEZZ NUMATEXZ CANADA EB,,NS,AMHERST,B4H3Y4,ds1
23DC05A,A.Z. Fox Limited,Kingston,ON,,K7K6C2,284BD53,A Z FOX,,ON,KINGSTON,K7K6C2,ds1
24A1FE7,Omyx Mechanical,Brampton,ON,,L6T4M4,E47290E,OMYX MECHANICAL,,ON,BRAMPTON,L6T4M4,ds1
24B9DAE,"Zympucet des Cobtobtuéteutaz 110, Chanum Ftezat",Gatineau,QC,Canada,J9H7S9,4A79EB1,ZYMPUCET DES COBTOBTUETEUTAZ 110 CHANUM FTEZAT,CA,QC,GATINEAU,J9H7S9,ds1
24D2147,Zaguum  Nottuz,Mississauga,ON,,L5L5S7,830BF80,ZAGUUM NOTTUZ,,ON,MISSISSAUGA,L5L5S7,ds1
24E2E8C,Teck Eut,Kingston,ON,,K7P2E4,2F770B5,TECK EUT,,ON,KINGSTON,K7P2E4,ds1
24E81D1,UNH BOOX XU LP BB# Q11-90-ATTA3260,Richmond Hill,ON,,L4B4R5,27791CD,UNH BOOX XU BB Q11 90 ATTA3260,,ON,RICHMOND HILL,L4B4R5,ds1
24FE49E,The Bekatfuaxp -Paatfuaxp 11 GB Inc.,Toronto,ON,,M5J0B6,13A707A,THE BEKATFUAXP PAATFUAXP 11 GB,,ON,TORONTO,M5J0B6,ds1
25B8BC9,Zoutca Etxemtuc - Zeumt Johm,Saint John,NB,,E2L4E4,E2358D9,ZOUTCA ETXEMTUC ZEUMT JOHM,,NB,SAINT JOHN,E2L4E4,ds1
25CA5B5,Axacom Construction and Zoxet,Rockland,ON,,K4K1K9,E591F59,AXACOM CONSTRUCTION AND ZOXET,,ON,ROCKLAND,K4K1K9,ds1
2614456,Cuzhnem & Wekafuaxp,Dartmouth,NS,Canada,B3B0A3,0439085,CUZHNEM WEKAFUAXP,CA,NS,DARTMOUTH,B3B0A3,ds1
262F7B7,Ambtupga Gez Inc.,Toronto,ON,,M2J1P8,F534F7C,AMBTUPGA GEZ,,ON,TORONTO,M2J1P8,ds1
264BD35,Ptaen Zunnut Umpuzttuex (Ontario) LP c/o,Markham,ON,,L3R9S1,A26FC7B,PTAEN ZUNNUT UMPUZTTUEX ONTARIO C O,,ON,MARKHAM,L3R9S1,ds1
2670CCC,CANADIAN BXOOP SERVICES,Ottawa,ON,,K1G4J5,10F0681,CANADIAN BXOOP SERVICES,,ON,OTTAWA,K1G4J5,ds1
2697140,Ttema Canada UXC,Markham,ON,,L3R8E3,16BC5A6,TTEMA CANADA UXC,,ON,MARKHAM,L3R8E3,ds1
